,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,pres_raw_county_vote_totals_two_party
466,2016.0,1023.0,G,PRES,Open Seat,3109.0,4106.0,7215.0
467,2020.0,1023.0,G,PRES,Republican President Re-election,3127.0,4296.0,7423.0
502,2004.0,1025.0,G,PRES,Republican President Re-election,4627.0,6730.0,11357.0
503,2008.0,1025.0,G,PRES,Open Seat,5914.0,7466.0,13380.0
504,2012.0,1025.0,G,PRES,Democratic President Re-election,6334.0,7470.0,13804.0
505,2016.0,1025.0,G,PRES,Open Seat,5749.0,7140.0,12889.0
506,2020.0,1025.0,G,PRES,Republican President Re-election,5755.0,7324.0,13079.0
541,2004.0,1027.0,G,PRES,Republican President Re-election,1893.0,4624.0,6517.0
542,2008.0,1027.0,G,PRES,Open Seat,1760.0,4984.0,6744.0
543,2012.0,1027.0,G,PRES,Democratic President Re-election,1777.0,4817.0,6594.0
544,2016.0,1027.0,G,PRES,Open Seat,1237.0,5245.0,6482.0
545,2020.0,1027.0,G,PRES,Republican President Re-election,1267.0,5601.0,6868.0
580,2004.0,1029.0,G,PRES,Republican President Re-election,1391.0,4370.0,5761.0
581,2008.0,1029.0,G,PRES,Open Seat,1168.0,5216.0,6384.0
582,2012.0,1029.0,G,PRES,Democratic President Re-election,971.0,5272.0,6243.0
583,2016.0,1029.0,G,PRES,Open Seat,684.0,5764.0,6448.0
584,2020.0,1029.0,G,PRES,Republican President Re-election,675.0,6484.0,7159.0
619,2004.0,1031.0,G,PRES,Republican President Re-election,4480.0,13019.0,17499.0
620,2008.0,1031.0,G,PRES,Open Seat,5079.0,14919.0,19998.0
621,2012.0,1031.0,G,PRES,Democratic President Re-election,4925.0,14666.0,19591.0
622,2016.0,1031.0,G,PRES,Open Seat,4221.0,15875.0,20096.0
623,2020.0,1031.0,G,PRES,Republican President Re-election,5076.0,16899.0,21975.0
658,2004.0,1033.0,G,PRES,Republican President Re-election,10598.0,13188.0,23786.0
659,2008.0,1033.0,G,PRES,Open Seat,9703.0,14739.0,24442.0
660,2012.0,1033.0,G,PRES,Democratic President Re-election,9166.0,13936.0,23102.0
661,2016.0,1033.0,G,PRES,Open Seat,7312.0,16746.0,24058.0
662,2020.0,1033.0,G,PRES,Republican President Re-election,8343.0,19203.0,27546.0
697,2004.0,1035.0,G,PRES,Republican President Re-election,2719.0,3271.0,5990.0
698,2008.0,1035.0,G,PRES,Open Seat,3429.0,3470.0,6899.0
699,2012.0,1035.0,G,PRES,Democratic President Re-election,3555.0,3439.0,6994.0
700,2016.0,1035.0,G,PRES,Open Seat,3080.0,3420.0,6500.0
701,2020.0,1035.0,G,PRES,Republican President Re-election,2966.0,3442.0,6408.0
736,2004.0,1037.0,G,PRES,Republican President Re-election,2055.0,2905.0,4960.0
737,2008.0,1037.0,G,PRES,Open Seat,2273.0,3248.0,5521.0
738,2012.0,1037.0,G,PRES,Democratic President Re-election,2191.0,3049.0,5240.0
739,2016.0,1037.0,G,PRES,Open Seat,1782.0,3381.0,5163.0
740,2020.0,1037.0,G,PRES,Republican President Re-election,1796.0,3631.0,5427.0
775,2004.0,1039.0,G,PRES,Republican President Re-election,3423.0,11119.0,14542.0
776,2008.0,1039.0,G,PRES,Open Seat,3240.0,12444.0,15684.0
777,2012.0,1039.0,G,PRES,Democratic President Re-election,3158.0,12153.0,15311.0
778,2016.0,1039.0,G,PRES,Open Seat,2387.0,13267.0,15654.0
779,2020.0,1039.0,G,PRES,Republican President Re-election,2721.0,14586.0,17307.0
814,2004.0,1041.0,G,PRES,Republican President Re-election,1698.0,3777.0,5475.0
815,2008.0,1041.0,G,PRES,Open Seat,1938.0,4319.0,6257.0
816,2012.0,1041.0,G,PRES,Democratic President Re-election,2050.0,4331.0,6381.0
817,2016.0,1041.0,G,PRES,Open Seat,1664.0,4513.0,6177.0
818,2020.0,1041.0,G,PRES,Republican President Re-election,1700.0,4864.0,6564.0
850,2004.0,1043.0,G,PRES,Republican President Re-election,8045.0,26818.0,34863.0
851,2008.0,1043.0,G,PRES,Open Seat,5864.0,28896.0,34760.0
852,2012.0,1043.0,G,PRES,Democratic President Re-election,5052.0,28999.0,34051.0
853,2016.0,1043.0,G,PRES,Open Seat,3798.0,32989.0,36787.0
854,2020.0,1043.0,G,PRES,Republican President Re-election,4478.0,36880.0,41358.0
889,2004.0,1045.0,G,PRES,Republican President Re-election,4484.0,13621.0,18105.0
890,2008.0,1045.0,G,PRES,Open Seat,5270.0,13886.0,19156.0
891,2012.0,1045.0,G,PRES,Democratic President Re-election,5286.0,13108.0,18394.0
892,2016.0,1045.0,G,PRES,Open Seat,4413.0,13808.0,18221.0
893,2020.0,1045.0,G,PRES,Republican President Re-election,5170.0,14303.0,19473.0
928,2004.0,1047.0,G,PRES,Republican President Re-election,11175.0,7335.0,18510.0
929,2008.0,1047.0,G,PRES,Open Seat,13986.0,6798.0,20784.0
930,2012.0,1047.0,G,PRES,Democratic President Re-election,14612.0,6288.0,20900.0
931,2016.0,1047.0,G,PRES,Open Seat,12836.0,5789.0,18625.0
932,2020.0,1047.0,G,PRES,Republican President Re-election,12230.0,5524.0,17754.0
967,2004.0,1049.0,G,PRES,Republican President Re-election,7092.0,16904.0,23996.0
968,2008.0,1049.0,G,PRES,Open Seat,5658.0,17957.0,23615.0
969,2012.0,1049.0,G,PRES,Democratic President Re-election,5239.0,18331.0,23570.0
970,2016.0,1049.0,G,PRES,Open Seat,3622.0,21405.0,25027.0
971,2020.0,1049.0,G,PRES,Republican President Re-election,4281.0,24767.0,29048.0
1006,2004.0,1051.0,G,PRES,Republican President Re-election,6471.0,22056.0,28527.0
1007,2008.0,1051.0,G,PRES,Open Seat,8301.0,25777.0,34078.0
1008,2012.0,1051.0,G,PRES,Democratic President Re-election,8954.0,26253.0,35207.0
1009,2016.0,1051.0,G,PRES,Open Seat,8443.0,27634.0,36077.0
1010,2020.0,1051.0,G,PRES,Republican President Re-election,10367.0,30164.0,40531.0
1045,2004.0,1053.0,G,PRES,Republican President Re-election,3814.0,8513.0,12327.0
1046,2008.0,1053.0,G,PRES,Open Seat,5188.0,9375.0,14563.0
1047,2012.0,1053.0,G,PRES,Democratic President Re-election,5489.0,9287.0,14776.0
1048,2016.0,1053.0,G,PRES,Open Seat,4605.0,9935.0,14540.0
1049,2020.0,1053.0,G,PRES,Republican President Re-election,4918.0,10869.0,15787.0
1084,2004.0,1055.0,G,PRES,Republican President Re-election,15328.0,26999.0,42327.0
1085,2008.0,1055.0,G,PRES,Open Seat,13497.0,30595.0,44092.0
1086,2012.0,1055.0,G,PRES,Democratic President Re-election,12803.0,29130.0,41933.0
1087,2016.0,1055.0,G,PRES,Open Seat,10442.0,32353.0,42795.0
1088,2020.0,1055.0,G,PRES,Republican President Re-election,11567.0,35528.0,47095.0
1123,2004.0,1057.0,G,PRES,Republican President Re-election,2408.0,5534.0,7942.0
1124,2008.0,1057.0,G,PRES,Open Seat,1994.0,5883.0,7877.0
1125,2012.0,1057.0,G,PRES,Democratic President Re-election,1817.0,6054.0,7871.0
1126,2016.0,1057.0,G,PRES,Open Seat,1362.0,6712.0,8074.0
1127,2020.0,1057.0,G,PRES,Republican President Re-election,1395.0,7300.0,8695.0
1162,2004.0,1059.0,G,PRES,Republican President Re-election,4514.0,7690.0,12204.0
1163,2008.0,1059.0,G,PRES,Open Seat,3469.0,8048.0,11517.0
1164,2012.0,1059.0,G,PRES,Democratic President Re-election,3171.0,7567.0,10738.0
1165,2016.0,1059.0,G,PRES,Open Seat,2197.0,9466.0,11663.0
1166,2020.0,1059.0,G,PRES,Republican President Re-election,2086.0,10376.0,12462.0
1201,2004.0,1061.0,G,PRES,Republican President Re-election,2113.0,8342.0,10455.0
1202,2008.0,1061.0,G,PRES,Open Seat,2134.0,9417.0,11551.0
1203,2012.0,1061.0,G,PRES,Democratic President Re-election,2039.0,9175.0,11214.0
1204,2016.0,1061.0,G,PRES,Open Seat,1525.0,9994.0,11519.0
1205,2020.0,1061.0,G,PRES,Republican President Re-election,1595.0,10848.0,12443.0
1240,2004.0,1063.0,G,PRES,Republican President Re-election,3764.0,958.0,4722.0
1241,2008.0,1063.0,G,PRES,Open Seat,4408.0,876.0,5284.0
1242,2012.0,1063.0,G,PRES,Democratic President Re-election,4521.0,804.0,5325.0
1243,2016.0,1063.0,G,PRES,Open Seat,4013.0,838.0,4851.0
1244,2020.0,1063.0,G,PRES,Republican President Re-election,3884.0,875.0,4759.0
1279,2004.0,1065.0,G,PRES,Republican President Re-election,4631.0,3281.0,7912.0
1280,2008.0,1065.0,G,PRES,Open Seat,4982.0,3200.0,8182.0
1281,2012.0,1065.0,G,PRES,Democratic President Re-election,5411.0,3210.0,8621.0
1282,2016.0,1065.0,G,PRES,Open Seat,4775.0,3173.0,7948.0
1283,2020.0,1065.0,G,PRES,Republican President Re-election,4687.0,3190.0,7877.0
1318,2004.0,1067.0,G,PRES,Republican President Re-election,2452.0,4881.0,7333.0
1319,2008.0,1067.0,G,PRES,Open Seat,3018.0,5585.0,8603.0
1320,2012.0,1067.0,G,PRES,Democratic President Re-election,3083.0,5628.0,8711.0
1321,2016.0,1067.0,G,PRES,Open Seat,2292.0,5632.0,7924.0
1322,2020.0,1067.0,G,PRES,Republican President Re-election,2606.0,6607.0,9213.0
1348,2004.0,1069.0,G,PRES,Republican President Re-election,9144.0,26874.0,36018.0
1349,2008.0,1069.0,G,PRES,Open Seat,12225.0,29254.0,41479.0
1350,2012.0,1069.0,G,PRES,Democratic President Re-election,12367.0,29270.0,41637.0
1351,2016.0,1069.0,G,PRES,Open Seat,10664.0,30728.0,41392.0
1352,2020.0,1069.0,G,PRES,Republican President Re-election,12917.0,32618.0,45535.0
1387,2004.0,1071.0,G,PRES,Republican President Re-election,8635.0,11534.0,20169.0
1388,2008.0,1071.0,G,PRES,Open Seat,6374.0,14083.0,20457.0
1389,2012.0,1071.0,G,PRES,Democratic President Re-election,5822.0,14439.0,20261.0
1390,2016.0,1071.0,G,PRES,Open Seat,3673.0,16672.0,20345.0
1391,2020.0,1071.0,G,PRES,Republican President Re-election,3717.0,19670.0,23387.0
1426,2004.0,1073.0,G,PRES,Republican President Re-election,132286.0,158680.0,290966.0
1427,2008.0,1073.0,G,PRES,Open Seat,166121.0,149921.0,316042.0
1428,2012.0,1073.0,G,PRES,Democratic President Re-election,159876.0,141683.0,301559.0
1429,2016.0,1073.0,G,PRES,Open Seat,156873.0,134768.0,291641.0
1430,2020.0,1073.0,G,PRES,Republican President Re-election,181688.0,138843.0,320531.0
1462,2004.0,1075.0,G,PRES,Republican President Re-election,1956.0,4894.0,6850.0
1463,2008.0,1075.0,G,PRES,Open Seat,1614.0,5419.0,7033.0
1464,2012.0,1075.0,G,PRES,Democratic President Re-election,1646.0,5457.0,7103.0
1465,2016.0,1075.0,G,PRES,Open Seat,1036.0,5823.0,6859.0
1466,2020.0,1075.0,G,PRES,Republican President Re-election,978.0,6174.0,7152.0
1501,2004.0,1077.0,G,PRES,Republican President Re-election,14628.0,22161.0,36789.0
1502,2008.0,1077.0,G,PRES,Open Seat,13329.0,24068.0,37397.0
1503,2012.0,1077.0,G,PRES,Democratic President Re-election,12511.0,23911.0,36422.0
1504,2016.0,1077.0,G,PRES,Open Seat,9952.0,27899.0,37851.0
1505,2020.0,1077.0,G,PRES,Republican President Re-election,11915.0,31721.0,43636.0
1540,2004.0,1079.0,G,PRES,Republican President Re-election,6155.0,7730.0,13885.0
1541,2008.0,1079.0,G,PRES,Open Seat,5164.0,9277.0,14441.0
1542,2012.0,1079.0,G,PRES,Democratic President Re-election,5069.0,8874.0,13943.0
1543,2016.0,1079.0,G,PRES,Open Seat,3627.0,10833.0,14460.0
1544,2020.0,1079.0,G,PRES,Republican President Re-election,3562.0,12322.0,15884.0
1579,2004.0,1081.0,G,PRES,Republican President Re-election,16227.0,27972.0,44199.0
1580,2008.0,1081.0,G,PRES,Open Seat,21498.0,32230.0,53728.0
1581,2012.0,1081.0,G,PRES,Democratic President Re-election,21381.0,32194.0,53575.0
1582,2016.0,1081.0,G,PRES,Open Seat,21230.0,34617.0,55847.0
1583,2020.0,1081.0,G,PRES,Republican President Re-election,27860.0,42221.0,70081.0
1618,2004.0,1083.0,G,PRES,Republican President Re-election,9126.0,19702.0,28828.0
1619,2008.0,1083.0,G,PRES,Open Seat,9536.0,23598.0,33134.0
1620,2012.0,1083.0,G,PRES,Democratic President Re-election,9829.0,25295.0,35124.0
1621,2016.0,1083.0,G,PRES,Open Seat,9468.0,29067.0,38535.0
1622,2020.0,1083.0,G,PRES,Republican President Re-election,13672.0,34640.0,48312.0
1657,2004.0,1085.0,G,PRES,Republican President Re-election,4233.0,1786.0,6019.0
1658,2008.0,1085.0,G,PRES,Open Seat,5449.0,1809.0,7258.0
1659,2012.0,1085.0,G,PRES,Democratic President Re-election,5747.0,1756.0,7503.0
1660,2016.0,1085.0,G,PRES,Open Seat,4883.0,1751.0,6634.0
1661,2020.0,1085.0,G,PRES,Republican President Re-election,4972.0,1836.0,6808.0
1696,2004.0,1087.0,G,PRES,Republican President Re-election,7800.0,1570.0,9370.0
1697,2008.0,1087.0,G,PRES,Open Seat,9450.0,1396.0,10846.0
1698,2012.0,1087.0,G,PRES,Democratic President Re-election,9045.0,1331.0,10376.0
1699,2016.0,1087.0,G,PRES,Open Seat,7566.0,1431.0,8997.0
1700,2020.0,1087.0,G,PRES,Republican President Re-election,7108.0,1541.0,8649.0
1735,2004.0,1089.0,G,PRES,Republican President Re-election,52644.0,77173.0,129817.0
1736,2008.0,1089.0,G,PRES,Open Seat,64117.0,86965.0,151082.0
1737,2012.0,1089.0,G,PRES,Democratic President Re-election,62015.0,90884.0,152899.0
1738,2016.0,1089.0,G,PRES,Open Seat,62822.0,89520.0,152342.0
1739,2020.0,1089.0,G,PRES,Republican President Re-election,87286.0,102780.0,190066.0
1774,2004.0,1091.0,G,PRES,Republican President Re-election,5037.0,5255.0,10292.0
1775,2008.0,1091.0,G,PRES,Open Seat,5926.0,5516.0,11442.0
1776,2012.0,1091.0,G,PRES,Democratic President Re-election,6167.0,5336.0,11503.0
1777,2016.0,1091.0,G,PRES,Open Seat,5615.0,5233.0,10848.0
1778,2020.0,1091.0,G,PRES,Republican President Re-election,5488.0,5343.0,10831.0
1813,2004.0,1093.0,G,PRES,Republican President Re-election,3808.0,8983.0,12791.0
1814,2008.0,1093.0,G,PRES,Open Seat,2600.0,9536.0,12136.0
1815,2012.0,1093.0,G,PRES,Democratic President Re-election,2249.0,9697.0,11946.0
1816,2016.0,1093.0,G,PRES,Open Seat,1432.0,11274.0,12706.0
1817,2020.0,1093.0,G,PRES,Republican President Re-election,1463.0,12205.0,13668.0
1852,2004.0,1095.0,G,PRES,Republican President Re-election,8452.0,22783.0,31235.0
1853,2008.0,1095.0,G,PRES,Open Seat,7038.0,25727.0,32765.0
1854,2012.0,1095.0,G,PRES,Democratic President Re-election,6299.0,25867.0,32166.0
1855,2016.0,1095.0,G,PRES,Open Seat,4917.0,29233.0,34150.0
1856,2020.0,1095.0,G,PRES,Republican President Re-election,5943.0,33191.0,39134.0
1891,2004.0,1097.0,G,PRES,Republican President Re-election,63732.0,92014.0,155746.0
1892,2008.0,1097.0,G,PRES,Open Seat,82181.0,98049.0,180230.0
1893,2012.0,1097.0,G,PRES,Democratic President Re-election,78760.0,94893.0,173653.0
1894,2016.0,1097.0,G,PRES,Open Seat,72186.0,95116.0,167302.0
1895,2020.0,1097.0,G,PRES,Republican President Re-election,79474.0,101243.0,180717.0
1930,2004.0,1099.0,G,PRES,Republican President Re-election,3666.0,5831.0,9497.0
1931,2008.0,1099.0,G,PRES,Open Seat,5025.0,6175.0,11200.0
1932,2012.0,1099.0,G,PRES,Democratic President Re-election,4914.0,5741.0,10655.0
1933,2016.0,1099.0,G,PRES,Open Seat,4332.0,5795.0,10127.0
1934,2020.0,1099.0,G,PRES,Republican President Re-election,4455.0,6147.0,10602.0
1969,2004.0,1101.0,G,PRES,Republican President Re-election,45160.0,44097.0,89257.0
1970,2008.0,1101.0,G,PRES,Open Seat,62166.0,42031.0,104197.0
1971,2012.0,1101.0,G,PRES,Democratic President Re-election,63085.0,38332.0,101417.0
1972,2016.0,1101.0,G,PRES,Open Seat,58916.0,34003.0,92919.0
1973,2020.0,1101.0,G,PRES,Republican President Re-election,64529.0,33311.0,97840.0
2008,2004.0,1103.0,G,PRES,Republican President Re-election,14131.0,32477.0,46608.0
2009,2008.0,1103.0,G,PRES,Open Seat,13895.0,36014.0,49909.0
2010,2012.0,1103.0,G,PRES,Democratic President Re-election,13439.0,35391.0,48830.0
2011,2016.0,1103.0,G,PRES,Open Seat,11254.0,37486.0,48740.0
2012,2020.0,1103.0,G,PRES,Republican President Re-election,13234.0,39664.0,52898.0
2047,2004.0,1105.0,G,PRES,Republican President Re-election,3767.0,1738.0,5505.0
2048,2008.0,1105.0,G,PRES,Open Seat,4457.0,1679.0,6136.0
2049,2012.0,1105.0,G,PRES,Democratic President Re-election,4568.0,1506.0,6074.0
2050,2016.0,1105.0,G,PRES,Open Seat,3824.0,1407.0,5231.0
2051,2020.0,1105.0,G,PRES,Republican President Re-election,3860.0,1339.0,5199.0
2086,2004.0,1107.0,G,PRES,Republican President Re-election,3915.0,5170.0,9085.0
2087,2008.0,1107.0,G,PRES,Open Seat,4594.0,5434.0,10028.0
2088,2012.0,1107.0,G,PRES,Democratic President Re-election,4455.0,5124.0,9579.0
2089,2016.0,1107.0,G,PRES,Open Seat,3972.0,5456.0,9428.0
2090,2020.0,1107.0,G,PRES,Republican President Re-election,4022.0,5594.0,9616.0
2125,2004.0,1109.0,G,PRES,Republican President Re-election,4334.0,7483.0,11817.0
2126,2008.0,1109.0,G,PRES,Open Seat,5879.0,8004.0,13883.0
2127,2012.0,1109.0,G,PRES,Democratic President Re-election,6035.0,7963.0,13998.0
2128,2016.0,1109.0,G,PRES,Open Seat,5056.0,7693.0,12749.0
2129,2020.0,1109.0,G,PRES,Republican President Re-election,5636.0,8042.0,13678.0
2164,2004.0,1111.0,G,PRES,Republican President Re-election,2817.0,6127.0,8944.0
2165,2008.0,1111.0,G,PRES,Open Seat,3064.0,7175.0,10239.0
2166,2012.0,1111.0,G,PRES,Democratic President Re-election,3078.0,7224.0,10302.0
2167,2016.0,1111.0,G,PRES,Open Seat,2291.0,7705.0,9996.0
2168,2020.0,1111.0,G,PRES,Republican President Re-election,2203.0,8559.0,10762.0
2203,2004.0,1113.0,G,PRES,Republican President Re-election,8375.0,8337.0,16712.0
2204,2008.0,1113.0,G,PRES,Open Seat,10085.0,8705.0,18790.0
2205,2012.0,1113.0,G,PRES,Democratic President Re-election,10500.0,8278.0,18778.0
2206,2016.0,1113.0,G,PRES,Open Seat,9579.0,9210.0,18789.0
2207,2020.0,1113.0,G,PRES,Republican President Re-election,11228.0,9864.0,21092.0
2242,2004.0,1115.0,G,PRES,Republican President Re-election,5456.0,23500.0,28956.0
2243,2008.0,1115.0,G,PRES,Open Seat,6091.0,27649.0,33740.0
2244,2012.0,1115.0,G,PRES,Democratic President Re-election,5801.0,29031.0,34832.0
2245,2016.0,1115.0,G,PRES,Open Seat,5589.0,31651.0,37240.0
2246,2020.0,1115.0,G,PRES,Republican President Re-election,7744.0,36166.0,43910.0
2281,2004.0,1117.0,G,PRES,Republican President Re-election,14850.0,63435.0,78285.0
2282,2008.0,1117.0,G,PRES,Open Seat,20625.0,69060.0,89685.0
2283,2012.0,1117.0,G,PRES,Democratic President Re-election,20051.0,71436.0,91487.0
2284,2016.0,1117.0,G,PRES,Open Seat,22977.0,73020.0,95997.0
2285,2020.0,1117.0,G,PRES,Republican President Re-election,33268.0,79700.0,112968.0
2320,2004.0,1119.0,G,PRES,Republican President Re-election,4527.0,1880.0,6407.0
2321,2008.0,1119.0,G,PRES,Open Seat,5264.0,1731.0,6995.0
2322,2012.0,1119.0,G,PRES,Democratic President Re-election,5421.0,1586.0,7007.0
2323,2016.0,1119.0,G,PRES,Open Seat,4746.0,1581.0,6327.0
2324,2020.0,1119.0,G,PRES,Republican President Re-election,4648.0,1598.0,6246.0
2359,2004.0,1121.0,G,PRES,Republican President Re-election,11374.0,18331.0,29705.0
2360,2008.0,1121.0,G,PRES,Open Seat,13779.0,20112.0,33891.0
2361,2012.0,1121.0,G,PRES,Democratic President Re-election,13905.0,19246.0,33151.0
2362,2016.0,1121.0,G,PRES,Open Seat,12121.0,20614.0,32735.0
2363,2020.0,1121.0,G,PRES,Republican President Re-election,13138.0,22235.0,35373.0
2398,2004.0,1123.0,G,PRES,Republican President Re-election,5451.0,12392.0,17843.0
2399,2008.0,1123.0,G,PRES,Open Seat,6063.0,13116.0,19179.0
2400,2012.0,1123.0,G,PRES,Democratic President Re-election,6319.0,12396.0,18715.0
2401,2016.0,1123.0,G,PRES,Open Seat,5519.0,13594.0,19113.0
2402,2020.0,1123.0,G,PRES,Republican President Re-election,5859.0,14963.0,20822.0
2437,2004.0,1125.0,G,PRES,Republican President Re-election,26447.0,42877.0,69324.0
2438,2008.0,1125.0,G,PRES,Open Seat,32796.0,45405.0,78201.0
2439,2012.0,1125.0,G,PRES,Democratic President Re-election,32048.0,45748.0,77796.0
2440,2016.0,1125.0,G,PRES,Open Seat,31762.0,47723.0,79485.0
2441,2020.0,1125.0,G,PRES,Republican President Re-election,37765.0,51117.0,88882.0
2476,2004.0,1127.0,G,PRES,Republican President Re-election,9016.0,19167.0,28183.0
2477,2008.0,1127.0,G,PRES,Open Seat,7420.0,20722.0,28142.0
2478,2012.0,1127.0,G,PRES,Democratic President Re-election,6557.0,21651.0,28208.0
2479,2016.0,1127.0,G,PRES,Open Seat,4497.0,24266.0,28763.0
2480,2020.0,1127.0,G,PRES,Republican President Re-election,4834.0,26002.0,30836.0
2515,2004.0,1129.0,G,PRES,Republican President Re-election,3145.0,5060.0,8205.0
2516,2008.0,1129.0,G,PRES,Open Seat,3067.0,5654.0,8721.0
2517,2012.0,1129.0,G,PRES,Democratic President Re-election,2976.0,5761.0,8737.0
2518,2016.0,1129.0,G,PRES,Open Seat,2374.0,6042.0,8416.0
2519,2020.0,1129.0,G,PRES,Republican President Re-election,2258.0,6564.0,8822.0
2554,2004.0,1131.0,G,PRES,Republican President Re-election,3838.0,1834.0,5672.0
2555,2008.0,1131.0,G,PRES,Open Seat,4612.0,1868.0,6480.0
2556,2012.0,1131.0,G,PRES,Democratic President Re-election,4868.0,1679.0,6547.0
2557,2016.0,1131.0,G,PRES,Open Seat,4339.0,1742.0,6081.0
2558,2020.0,1131.0,G,PRES,Republican President Re-election,4048.0,1833.0,5881.0
2593,2004.0,1133.0,G,PRES,Republican President Re-election,2236.0,8130.0,10366.0
2594,2008.0,1133.0,G,PRES,Open Seat,1757.0,8103.0,9860.0
2595,2012.0,1133.0,G,PRES,Democratic President Re-election,1286.0,8312.0,9598.0
