"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M",
"0500000US01019","Cherokee County, Alabama","25700","*****","25573","85","15092","715","10336","698","209","97","928","231","8914","673","285","144","145","93","38","48","0","119","107","81","127","85","77","67","50","51",
"0500000US01021","Chilton County, Alabama","43121","*****","41413","199","34935","553","6294","548","1007","236","1061","260","3646","483","580","153","184","86","16","27","0","119","168","83","1708","199","265","121","1443","246",
"0500000US01023","Choctaw County, Alabama","14111","*****","14064","45","8481","401","5545","405","128","73","322","155","4763","409","332","175","38","37","0","119","0","119","38","37","47","45","21","22","26","42",
"0500000US01025","Clarke County, Alabama","26255","*****","26192","50","22379","459","3752","464","494","171","857","286","2223","383","178","86","61","39","6","12","0","119","55","36","63","50","38","28","25","41",
"0500000US01027","Clay County, Alabama","14040","*****","13754","74","11421","428","2299","444","256","120","333","112","1570","383","140","82","34","30","12","21","5","7","17","20","286","74","8","12","278","76",
"0500000US01029","Cleburne County, Alabama","14823","*****","14647","161","7982","590","6619","574","181","108","323","135","5942","558","173","82","46","42","20","33","0","119","26","27","176","161","102","103","74","66",
"0500000US01031","Coffee County, Alabama","48349","*****","46135","301","29502","754","15457","786","2174","345","2403","358","8606","731","2274","362","1176","248","329","163","5","8","842","176","2214","301","655","122","1559","318",
"0500000US01033","Colbert County, Alabama","54446","*****","53571","225","42005","666","11398","678","739","171","2932","436","6717","586","1010","275","168","91","34","49","0","119","134","82","875","225","425","207","450","153",
"0500000US01035","Conecuh County, Alabama","13382","*****","13376","9","10874","518","2478","516","252","249","761","309","1201","285","264","168","24","33","6","9","0","119","18","31","6","9","6","9","0","119",
"0500000US01037","Coosa County, Alabama","11470","*****","11403","67","9719","309","1530","275","119","71","269","137","1085","227","57","40","154","99","0","119","0","119","154","99","67","67","25","25","42","56",
"0500000US01039","Covington County, Alabama","37608","*****","37055","175","28737","654","8153","611","900","262","1191","283","5400","484","662","206","165","134","79","112","0","119","86","63","553","175","114","69","439","163",
"0500000US01041","Crenshaw County, Alabama","13928","*****","13351","205","11180","352","2115","299","267","224","384","131","1355","258","109","66","56","50","0","119","0","119","56","50","577","205","31","32","546","213",
"0500000US01043","Cullman County, Alabama","79941","*****","77848","318","60435","1064","17067","1062","1420","289","4928","506","9098","822","1621","391","346","124","34","31","0","119","312","119","2093","318","369","126","1724","306",
"0500000US01045","Dale County, Alabama","49730","*****","47962","272","27409","751","19245","796","2294","341","3660","413","10967","729","2324","354","1308","330","420","245","4","6","884","204","1768","272","968","206","800","226",
"0500000US01047","Dallas County, Alabama","44066","*****","43743","94","38360","611","5171","601","707","205","1186","292","2865","429","413","141","212","118","30","36","12","18","170","108","323","94","108","78","215","101",
"0500000US01049","DeKalb County, Alabama","70038","*****","64965","264","46769","1426","17946","1440","1133","394","2982","516","12646","974","1185","334","250","116","26","26","2","6","222","113","5073","264","652","373","4421","367",
"0500000US01051","Elmore County, Alabama","77650","*****","75970","262","56128","966","19146","1007","2034","360","3758","413","11368","841","1986","279","696","223","76","62","0","119","620","211","1680","262","486","166","1194","197",
"0500000US01053","Escambia County, Alabama","37996","*****","37568","142","26962","607","10431","608","637","165","1079","194","7886","550","829","231","175","95","10","16","14","24","151","83","428","142","86","52","342","130",
"0500000US01055","Etowah County, Alabama","104066","*****","101704","278","82312","958","18788","879","2063","425","3824","483","11043","659","1858","331","604","173","22","25","13","20","569","171","2362","278","545","131","1817","291",
"0500000US01057","Fayette County, Alabama","17472","*****","17380","62","14274","400","3038","421","100","75","607","157","2086","351","245","128","68","52","28","39","0","119","40","37","92","62","20","21","72","53",
"0500000US01059","Franklin County, Alabama","31383","*****","28906","219","22084","507","6777","522","279","124","1823","332","3897","451","778","226","45","37","0","119","0","119","45","37","2477","219","332","139","2145","271",
"0500000US01061","Geneva County, Alabama","26541","*****","26106","135","19062","579","6761","590","482","150","1123","415","4697","511","459","228","283","114","0","119","0","119","283","114","435","135","101","54","334","135",
"0500000US01063","Greene County, Alabama","9255","*****","9172","110","8100","310","1072","285","61","47","174","102","692","236","145","93","0","119","0","119","0","119","0","119","83","110","9","15","74","117",
"0500000US01065","Hale County, Alabama","16168","*****","16021","111","13920","363","2034","361","150","88","578","201","1170","254","136","80","67","53","6","9","1","119","60","52","147","111","17","16","130","110",
"0500000US01067","Henry County, Alabama","17148","*****","16719","198","12582","528","4071","493","561","201","555","265","2752","400","203","92","66","60","29","48","0","119","37","33","429","198","188","120","241","141",
"0500000US01069","Houston County, Alabama","99029","*****","96862","220","66452","845","29506","806","3217","373","4576","333","19714","674","1999","232","904","159","137","65","42","30","725","132","2167","220","860","109","1307","206",
"0500000US01071","Jackson County, Alabama","53386","*****","52598","126","35920","847","16475","835","733","239","3737","613","11232","767","773","191","203","88","7","10","16","26","180","85","788","126","311","140","477","181",
"0500000US01073","Jefferson County, Alabama","656912","*****","630177","1106","498814","3200","127742","3140","16417","1148","25936","1402","73640","2401","11749","858","3621","431","583","253","230","112","2808","354","26735","1106","7190","727","19545","1069",
"0500000US01075","Lamar County, Alabama","14743","*****","14707","24","9618","499","5033","496","74","44","683","166","4013","446","263","136","56","61","0","119","0","119","56","61","36","24","7","13","29","21",
"0500000US01077","Lauderdale County, Alabama","91762","*****","90071","321","63964","1337","25802","1407","1601","341","6205","688","15992","1023","2004","447","305","122","7","13","0","119","298","121","1691","321","441","126","1250","337",
"0500000US01079","Lawrence County, Alabama","34235","*****","33669","152","28263","443","5330","470","352","127","2020","351","2479","317","479","136","76","70","0","119","0","119","76","70","566","152","313","177","253","98",
"0500000US01081","Lee County, Alabama","135010","*****","128376","551","71531","1426","55078","1406","4325","435","6823","511","40506","1378","3424","445","1767","317","238","102","158","209","1371","231","6634","551","1878","249","4756","529",
"0500000US01083","Limestone County, Alabama","78614","*****","75838","234","53041","937","22142","904","1691","288","5254","491","12936","740","2261","300","655","165","50","63","61","59","544","152","2776","234","673","210","2103","277",
"0500000US01085","Lowndes County, Alabama","11731","*****","11696","40","10205","248","1485","250","236","105","283","126","773","151","193","79","6","9","0","119","0","119","6","9","35","40","10","16","25","37",
"0500000US01087","Macon County, Alabama","21699","*****","21599","70","15769","577","5690","577","998","222","1167","215","2874","481","651","216","140","72","0","119","36","41","104","69","100","70","47","43","53","40",
"0500000US01089","Madison County, Alabama","323080","*****","305288","853","173824","2435","126370","2329","14875","1026","30418","1197","68319","2153","12758","962","5094","582","482","213","120","67","4492","555","17792","853","7552","692","10240","798",
"0500000US01091","Marengo County, Alabama","21296","*****","21235","64","17750","424","3384","421","90","52","613","219","2496","373","185","132","101","81","0","119","0","119","101","81","61","64","15","23","46","49",
"0500000US01093","Marion County, Alabama","30792","*****","30344","207","22299","531","7829","550","293","116","2310","330","4654","452","572","172","216","113","46","70","0","119","170","96","448","207","205","145","243","136",
"0500000US01095","Marshall County, Alabama","90867","*****","84099","492","61934","1136","21558","1172","1582","318","4701","579","12939","957","2336","400","607","235","163","167","0","119","444","181","6768","492","1102","359","5666","505",
"0500000US01097","Mobile County, Alabama","408620","*****","395596","840","297026","2582","96134","2393","8937","643","16295","1055","62766","1894","8136","635","2436","413","392","161","290","239","1754","293","13024","840","4500","517","8524","904",
"0500000US01099","Monroe County, Alabama","23329","*****","23022","122","19608","558","3358","559","336","167","440","156","2313","532","269","92","56","47","16","28","0","119","40","38","307","122","84","75","223","96",
"0500000US01101","Montgomery County, Alabama","228018","*****","219023","639","162569","2003","53496","1874","6326","676","11218","958","30939","1419","5013","622","2958","382","232","99","108","60","2618","381","8995","639","2775","431","6220","673",
"0500000US01103","Morgan County, Alabama","117632","*****","111686","355","81064","1442","30019","1380","2396","423","7960","571","16596","956","3067","547","603","173","58","68","26","19","519","144","5946","355","1154","253","4792","355",
"0500000US01105","Perry County, Alabama","10684","*****","10672","19","9425","335","1247","332","108","78","557","221","454","166","128","87","0","119","0","119","0","119","0","119","12","19","12","19","0","119",
"0500000US01107","Pickens County, Alabama","19917","*****","19827","64","16109","425","3679","437","275","131","564","157","2707","361","133","75","39","34","4","12","0","119","35","33","90","64","61","63","29","26",
"0500000US01109","Pike County, Alabama","32147","*****","30903","311","24275","654","6461","616","695","217","1074","268","3974","527","718","258","167","90","0","119","0","119","167","90","1244","311","54","30","1190","315",
"0500000US01111","Randolph County, Alabama","22817","*****","22464","151","14900","598","7491","611","277","133","555","175","6500","601","159","100","73","60","8","14","12","21","53","51","353","151","27","28","326","152",
"0500000US01113","Russell County, Alabama","51663","*****","50877","149","19767","1064","30118","1031","1591","380","2258","422","24938","1132","1331","370","992","244","137","81","78","81","777","217","786","149","407","104","379","132",
"0500000US01115","St. Clair County, Alabama","80658","*****","79089","289","63146","1153","15411","1102","1176","259","3606","508","8785","725","1844","462","532","203","25","34","39","55","468","197","1569","289","374","154","1195","280",
"0500000US01117","Shelby County, Alabama","187880","*****","177283","614","118852","1734","56987","1728","6272","550","11961","838","34660","1348","4094","501","1444","262","146","107","19","26","1279","239","10597","614","3003","377","7594","575",
"0500000US01119","Sumter County, Alabama","13871","*****","13857","8","9664","580","4178","585","155","142","404","176","3272","463","347","197","15","26","0","119","0","119","15","26","14","8","0","119","14","8",
"0500000US01121","Talladega County, Alabama","82347","*****","80821","319","67145","968","13313","979","1031","290","2886","445","8239","850","1157","264","363","113","16","14","0","119","347","110","1526","319","685","158","841","272",
"0500000US01123","Tallapoosa County, Alabama","41534","*****","40896","127","33648","669","7146","685","917","194","1137","291","4651","594","441","138","102","70","0","119","0","119","102","70","638","127","175","93","463","97",
"0500000US01125","Tuscaloosa County, Alabama","188331","*****","182094","534","141605","1423","39252","1487","3699","538","7659","613","24583","1279","3311","459","1237","316","104","71","0","119","1133","316","6237","534","1529","286","4708","468",
"0500000US01127","Walker County, Alabama","67612","*****","66888","195","55590","637","11120","613","716","225","3581","436","5845","488","978","217","178","65","6","9","14","22","158","64","724","195","208","100","516","209",
"0500000US01129","Washington County, Alabama","17556","*****","17470","67","13081","561","4381","564","74","72","344","148","3692","608","271","152","8","14","0","119","0","119","8","14","86","67","32","24","54","63",
"0500000US01131","Wilcox County, Alabama","12012","*****","11974","45","10717","311","1166","279","239","172","158","85","614","174","155","112","91","133","0","119","0","119","91","133","38","45","14","23","24","39",
"0500000US01133","Winston County, Alabama","24687","*****","24317","162","19014","697","5274","673","139","94","1762","311","3107","630","266","135","29","39","0","119","0","119","29","39","370","162","246","209","124","94",
"0500000US02013","Aleutians East Borough, Alaska","3703","765","1028","223","541","136","352","132","13","10","33","22","28","22","278","129","135","67","7","11","10","16","118","67","2675","679","490","134","2185","616",
"0500000US02016","Aleutians West Census Area, Alaska","6259","1006","2855","555","587","156","2069","633","278","181","371","220","346","167","1074","216","199","74","0","109","31","28","168","71","3404","798","843","210","2561","800",
"0500000US02020","Anchorage Municipality, Alaska","284267","*****","257994","992","95600","1921","154181","1914","17780","1021","37042","1471","36977","1554","62382","1939","8213","720","713","191","2140","445","5360","570","26273","992","14173","661","12100","899",
"0500000US02050","Bethel Census Area, Alaska","16838","*****","16743","50","14878","147","1765","129","235","97","545","112","441","150","544","130","100","73","0","109","0","109","100","73","95","50","33","36","62","46",
"0500000US02060","Bristol Bay Borough, Alaska","1049","134","1041","133","569","114","465","92","40","22","112","44","63","36","250","62","7","10","0","109","7","10","0","109","8","12","3","10","5","7",
"0500000US02068","Denali Borough, Alaska","1144","304","1088","292","324","98","745","239","156","78","197","73","187","71","205","85","19","19","0","109","0","109","19","19","56","36","30","28","26","23",
"0500000US02070","Dillingham Census Area, Alaska","4817","*****","4747","37","3817","83","905","82","91","26","257","51","187","64","370","75","25","20","0","109","9","13","16","17","70","37","40","29","30","24",
"0500000US02090","Fairbanks North Star Borough, Alaska","94439","*****","89597","617","30420","1239","56869","1414","7128","703","14886","807","14805","1049","20050","1133","2308","421","125","83","195","146","1988","396","4842","617","2406","391","2436","477",
"0500000US02100","Haines Borough, Alaska","1658","492","1648","492","461","178","1152","370","95","48","352","164","98","64","607","244","35","30","0","109","0","109","35","30","10","10","7","11","3","5",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2029","196","1983","195","1091","113","866","125","92","47","162","65","114","45","498","91","26","26","0","109","0","109","26","26","46","28","17","14","29","23",
"0500000US02110","Juneau City and Borough, Alaska","30975","*****","28833","252","12263","601","16135","603","1900","290","3270","327","2071","300","8894","596","435","157","42","51","101","89","292","105","2142","252","1217","205","925","220",
"0500000US02122","Kenai Peninsula Borough, Alaska","53917","*****","52150","217","18756","587","32741","623","3337","349","8541","548","5188","403","15675","678","653","159","0","109","57","55","596","145","1767","217","1014","160","753","180",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13396","*****","12427","202","5556","374","6713","403","580","166","1154","219","720","189","4259","454","158","88","0","109","7","13","151","87","969","202","469","157","500","198",
"0500000US02150","Kodiak Island Borough, Alaska","13349","*****","11151","359","4452","466","6291","569","624","293","1337","294","1353","286","2977","805","408","161","87","86","0","109","321","143","2198","359","1171","254","1027","340",
"0500000US02164","Lake and Peninsula Borough, Alaska","1626","153","1596","153","1300","148","296","79","23","24","101","61","20","13","152","50","0","109","0","109","0","109","0","109","30","22","26","20","4","6",
"0500000US02170","Matanuska-Susitna Borough, Alaska","84147","*****","81456","369","31133","891","48797","909","5349","430","12837","632","8816","598","21795","827","1526","189","78","53","60","43","1388","192","2691","369","1529","209","1162","282",
"0500000US02180","Nome Census Area, Alaska","9315","*****","9208","60","7629","199","1500","165","271","166","606","144","234","132","389","135","79","57","0","109","16","29","63","52","107","60","80","46","27","32",
"0500000US02185","North Slope Borough, Alaska","8852","*****","8547","188","7525","283","943","206","100","51","203","95","265","132","375","137","79","45","0","109","8","10","71","44","305","188","184","133","121","98",
"0500000US02188","Northwest Arctic Borough, Alaska","7477","*****","7387","52","6419","74","929","73","110","36","255","61","154","45","410","87","39","25","0","109","0","109","39","25","90","52","36","28","54","38",
"0500000US02195","Petersburg Census Area, Alaska","3841","*****","3745","46","1468","186","2251","193","209","98","636","166","213","110","1193","207","26","35","0","109","0","109","26","35","96","46","61","29","35","35",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5507","*****","5376","32","2735","116","2585","114","113","47","356","91","286","73","1830","141","56","32","0","109","13","18","43","27","131","32","52","24","79","31",
"0500000US02220","Sitka City and Borough, Alaska","8894","*****","8245","203","3634","338","4567","362","724","217","622","168","904","229","2317","281","44","41","0","109","0","109","44","41","649","203","334","127","315","160",
"0500000US02230","Skagway Municipality, Alaska","1140","196","979","76","245","112","666","82","159","69","223","79","46","30","238","81","68","47","0","109","0","109","68","47","161","188","0","109","161","188",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6935","*****","6582","137","2240","215","4217","221","701","162","1155","245","1089","213","1272","180","125","72","0","109","0","109","125","72","353","137","238","118","115","60",
"0500000US02261","Valdez-Cordova Census Area, Alaska","9606","*****","9134","114","3908","305","5065","326","476","145","1126","252","769","186","2694","338","161","82","0","109","43","54","118","62","472","114","253","79","219","106",
"0500000US02270","Wade Hampton Census Area, Alaska","7398","*****","7387","8","7047","51","327","48","25","16","84","34","97","39","121","36","13","11","0","109","7","9","6","6","11","8","5","6","6","6",
"0500000US02275","Wrangell City and Borough, Alaska","2338","*****","2294","44","1149","192","1121","183","27","29","182","82","52","54","860","175","24","34","0","109","0","109","24","34","44","44","44","44","0","109",
"0500000US02282","Yakutat City and Borough, Alaska","638","113","624","111","404","101","210","50","24","18","35","23","18","9","133","41","10","3","0","109","0","109","10","3","14","13","5","5","9","11",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5635","*****","5582","30","4256","78","1298","79","177","31","383","55","205","54","533","68","28","28","5","7","18","26","5","5","53","30","12","10","41","26",
"0500000US04001","Apache County, Arizona","70312","*****","69158","279","48980","1119","19923","1158","1146","244","2352","311","1842","348","14583","1208","255","139","0","132","20","19","235","137","1154","279","439","162","715","211",
"0500000US04003","Cochise County, Arizona","129268","*****","113413","956","42059","1298","67489","1297","10676","772","19976","1010","16992","994","19845","888","3865","465","427","219","94","81","3344","476","15855","956","7553","693","8302","875",
"0500000US04005","Coconino County, Arizona","131824","*****","124340","893","67182","1771","55808","1644","7289","622","15271","877","8746","781","24502","1306","1350","282","14","23","110","89","1226","246","7484","893","2092","317","5392","892",
"0500000US04007","Gila County, Arizona","53272","*****","51603","299","28519","843","22760","860","2791","477","7586","536","4253","567","8130","773","324","129","20","22","0","132","304","128","1669","299","665","181","1004","278",
"0500000US04009","Graham County, Arizona","36030","*****","34243","317","24165","599","9929","609","896","212","2550","348","2289","306","4194","538","149","89","4","7","44","62","101","66","1787","317","518","154","1269","265",
"0500000US04011","Greenlee County, Arizona","8318","*****","7951","133","5026","336","2908","289","173","64","536","123","701","171","1498","280","17","19","0","132","0","132","17","19","367","133","138","65","229","124",
"0500000US04012","La Paz County, Arizona","20549","*****","18050","308","5093","410","12841","465","1140","274","2848","446","1948","358","6905","668","116","98","0","132","0","132","116","98","2499","308","583","176","1916","289",
"0500000US04013","Maricopa County, Arizona","3751410","*****","3154608","6358","1298551","6871","1815094","7424","293562","4767","676064","6967","274834","4667","570634","6405","40963","1786","5025","774","2284","548","33654","1529","596802","6358","182783","3393","414019","5683",
"0500000US04015","Mohave County, Arizona","199177","*****","186468","879","36636","1565","148266","1622","14265","1059","39255","1665","16117","966","78629","2180","1566","432","242","244","59","53","1265","361","12709","879","5680","521","7029","830",
"0500000US04017","Navajo County, Arizona","107060","*****","104254","477","70496","1405","33276","1316","2849","447","9688","885","5312","613","15427","1237","482","169","19","32","26","18","437","167","2806","477","883","220","1923","418",
"0500000US04019","Pima County, Arizona","964462","*****","836971","3242","369134","3865","453395","3486","82737","2113","156478","2780","79432","2005","134748","2997","14442","950","1194","314","874","225","12374","886","127491","3242","49292","1744","78199","2817",
"0500000US04021","Pinal County, Arizona","329297","*****","294696","1771","124067","2350","168087","2208","23147","1367","59345","1829","25557","1395","60038","2258","2542","415","296","135","106","77","2140","384","34601","1771","11216","841","23385","1700",
"0500000US04023","Santa Cruz County, Arizona","46051","*****","30614","1027","22000","1266","7832","774","1173","283","2786","357","1409","397","2464","428","782","242","57","91","5","8","720","234","15437","1027","6555","717","8882","938",
"0500000US04025","Yavapai County, Arizona","209260","*****","194134","945","60126","1810","132155","1891","20194","1088","44184","1496","18854","1104","48923","1633","1853","357","128","99","139","98","1586","289","15126","945","5574","509","9552","881",
"0500000US04027","Yuma County, Arizona","190526","*****","141688","1525","62368","1795","76411","1649","5389","550","18186","957","12976","898","39860","1496","2909","457","377","191","65","48","2467","446","48838","1525","15607","773","33231","1712",
"0500000US05001","Arkansas County, Arkansas","19321","*****","19015","132","15884","478","3067","490","178","104","842","237","1426","234","621","207","64","60","19","31","0","119","45","50","306","132","32","31","274","127",
"0500000US05003","Ashley County, Arkansas","22126","*****","21690","97","15227","455","6373","461","147","87","665","221","4873","386","688","168","90","73","8","14","0","119","82","75","436","97","84","61","352","79",
"0500000US05005","Baxter County, Arkansas","41388","*****","40583","193","13850","796","26468","811","1710","318","15015","709","6158","645","3585","553","265","103","15","23","3","5","247","101","805","193","529","165","276","129",
"0500000US05007","Benton County, Arkansas","209911","*****","189941","841","80448","1787","107049","1920","6035","714","39204","1354","37654","1844","24156","1275","2444","473","500","286","5","9","1939","377","19970","841","5435","557","14535","894",
"0500000US05009","Boone County, Arkansas","36710","*****","36351","89","19869","677","16341","682","822","199","7329","546","4289","524","3901","490","141","95","12","18","0","119","129","95","359","89","129","64","230","89",
"0500000US05011","Bradley County, Arkansas","11638","*****","10841","143","8907","425","1930","386","111","79","256","118","995","219","568","238","4","7","0","119","0","119","4","7","797","143","275","104","522","158",
"0500000US05013","Calhoun County, Arkansas","5529","*****","5449","93","4612","219","825","167","70","50","176","90","449","115","130","57","12","18","0","119","0","119","12","18","80","93","40","50","40","46",
"0500000US05015","Carroll County, Arkansas","26971","*****","24990","195","11722","638","13177","642","798","197","5465","551","4108","469","2806","440","91","54","40","36","0","119","51","39","1981","195","670","151","1311","219",
"0500000US05017","Chicot County, Arkansas","12102","*****","11828","95","8423","325","3364","314","42","46","748","198","2282","238","292","105","41","43","0","119","0","119","41","43","274","95","75","62","199","77",
"0500000US05019","Clark County, Arkansas","23083","*****","22567","161","15154","917","7258","930","434","309","1414","271","3794","414","1616","662","155","96","0","119","0","119","155","96","516","161","209","99","307","142",
"0500000US05021","Clay County, Arkansas","16297","*****","16228","45","9500","367","6705","375","51","44","5105","326","1025","189","524","150","23","27","2","4","0","119","21","26","69","45","25","27","44","34",
"0500000US05023","Cleburne County, Arkansas","25692","*****","25335","174","15213","689","9939","709","395","126","3922","488","3625","392","1997","429","183","84","0","119","0","119","183","84","357","174","119","100","238","143",
"0500000US05025","Cleveland County, Arkansas","8769","*****","8742","30","7171","245","1562","240","41","27","309","95","893","197","319","136","9","13","0","119","0","119","9","13","27","30","10","16","17","26",
"0500000US05027","Columbia County, Arkansas","24756","*****","24188","194","17436","532","6708","564","201","102","762","242","5143","440","602","159","44","42","17","29","0","119","27","28","568","194","102","68","466","187",
"0500000US05029","Conway County, Arkansas","21059","*****","20666","134","15251","445","5269","426","283","130","1309","218","2443","328","1234","288","146","88","12","20","0","119","134","85","393","134","106","71","287","115",
"0500000US05031","Craighead County, Arkansas","93329","*****","90373","315","61748","933","28266","964","1098","262","10870","830","13249","812","3049","413","359","138","34","44","21","26","304","116","2956","315","747","177","2209","309",
"0500000US05033","Crawford County, Arkansas","60778","*****","58498","255","37310","978","20927","928","600","172","4862","610","9568","714","5897","646","261","121","0","119","24","22","237","119","2280","255","1136","299","1144","286",
"0500000US05035","Crittenden County, Arkansas","50673","*****","50150","254","27037","988","22939","975","830","407","3468","386","17379","992","1262","327","174","88","0","119","0","119","174","88","523","254","213","127","310","234",
"0500000US05037","Cross County, Arkansas","18144","*****","18116","48","13386","477","4693","478","174","94","1195","259","2868","417","456","178","37","33","0","119","0","119","37","33","28","48","28","48","0","119",
"0500000US05039","Dallas County, Arkansas","8280","*****","8262","24","6560","667","1663","688","27","34","150","84","845","252","641","517","39","43","0","119","0","119","39","43","18","24","0","119","18","24",
"0500000US05041","Desha County, Arkansas","13351","*****","13099","55","11046","266","2036","270","0","119","431","132","1286","222","319","130","17","18","0","119","0","119","17","18","252","55","35","32","217","65",
"0500000US05043","Drew County, Arkansas","18546","*****","18231","133","14205","477","3960","485","196","107","914","268","2354","431","496","162","66","56","16","26","15","28","35","40","315","133","133","84","182","131",
"0500000US05045","Faulkner County, Arkansas","108375","*****","104435","475","69815","1243","33751","1181","1885","352","10724","792","15044","800","6098","509","869","215","124","132","31","35","714","178","3940","475","836","215","3104","516",
"0500000US05047","Franklin County, Arkansas","18176","*****","17987","86","12597","511","5360","519","279","151","1545","325","2075","314","1461","354","30","29","0","119","0","119","30","29","189","86","128","89","61","46",
"0500000US05049","Fulton County, Arkansas","12263","*****","12216","49","5655","479","6491","483","350","216","3596","430","1858","402","687","195","70","57","0","119","0","119","70","57","47","49","20","18","27","46",
"0500000US05051","Garland County, Arkansas","95290","*****","91161","496","51079","1413","39661","1471","2356","453","14569","1027","14675","1097","8061","888","421","139","51","45","41","44","329","114","4129","496","2014","341","2115","373",
"0500000US05053","Grant County, Arkansas","17657","*****","17420","98","13375","548","3875","482","411","255","936","289","1831","304","697","181","170","125","9","16","0","119","161","123","237","98","69","75","168","66",
"0500000US05055","Greene County, Arkansas","41318","*****","40921","139","27845","686","12974","698","440","172","7326","675","3646","439","1562","283","102","76","0","119","0","119","102","76","397","139","74","49","323","161",
"0500000US05057","Hempstead County, Arkansas","22747","*****","21459","184","14495","517","6926","503","399","183","837","213","4742","493","948","229","38","49","17","43","0","119","21","22","1288","184","171","103","1117","178",
