"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"0500000US01019","Cherokee County, Alabama","25897","*****","25709","108","14379","676","11286","688","480","209","1082","203","9331","674","393","140","44","42","12","21","0","21","32","36","188","108","124","91","0","21","34","36","0","21","0","21","34","38","56","72","64","58","16","26","39","59","0","21","0","21","0","21","9","15",
"0500000US01021","Chilton County, Alabama","43817","*****","41382","249","33431","764","7699","683","591","262","1742","352","4708","517","658","218","252","113","28","29","0","24","224","110","2435","249","383","193","71","83","78","44","4","7","0","24","219","168","11","19","2052","307","117","120","82","32","0","24","0","24","1814","285","39","55",
"0500000US01023","Choctaw County, Alabama","13287","*****","13265","17","6755","341","6435","339","130","80","485","150","5619","318","201","65","75","53","0","18","0","18","75","53","22","17","11","12","1","2","6","9","0","18","0","18","0","18","4","8","11","11","0","18","7","10","0","18","0","18","2","5","2","3",
"0500000US01025","Clarke County, Alabama","24847","*****","24731","75","21404","475","3303","480","361","143","537","158","2180","393","225","88","24","18","0","21","0","21","24","18","116","75","81","69","19","18","42","66","12","18","0","21","8","13","0","21","35","26","14","18","0","21","0","21","0","21","21","20","0","21",
"0500000US01027","Clay County, Alabama","13483","*****","13228","58","10796","352","2428","361","179","86","631","240","1404","271","214","117","4","8","0","18","0","18","4","8","255","58","39","39","11","15","0","18","0","18","0","18","28","36","0","18","216","86","17","25","0","18","0","18","0","18","199","84","0","18",
"0500000US01029","Cleburne County, Alabama","14991","*****","14729","50","8266","405","6387","382","135","97","554","146","5416","380","282","90","76","58","8","11","0","18","68","58","262","50","65","40","18","18","16","17","0","18","0","18","31","33","0","18","197","63","0","18","22","32","0","18","0","18","175","62","0","18",
"0500000US01031","Coffee County, Alabama","50991","*****","49085","304","30463","796","17368","789","2372","372","3409","540","8919","682","2668","401","1254","256","378","169","0","27","876","191","1906","304","965","220","188","79","328","111","35","40","2","4","398","175","14","9","941","204","282","140","150","70","0","27","0","27","506","149","3","5",
"0500000US01033","Colbert County, Alabama","54377","*****","53528","156","41495","761","11737","745","789","234","3152","493","6718","760","1078","269","296","140","47","61","6","10","243","121","849","156","426","109","33","27","191","62","0","27","0","27","140","81","62","50","423","132","34","30","84","49","24","30","0","27","250","114","31","34",
"0500000US01035","Conecuh County, Alabama","12697","*****","12589","49","10859","235","1704","224","192","91","262","108","1158","210","92","47","26","27","0","18","0","18","26","27","108","49","54","42","11","19","23","29","0","18","0","18","20","22","0","18","54","41","11","19","0","18","0","18","0","18","43","36","0","18",
"0500000US01037","Coosa County, Alabama","10864","*****","10728","122","9321","275","1341","220","113","67","199","86","828","155","201","107","66","43","4","7","0","18","62","42","136","122","20","25","0","18","0","18","0","18","0","18","19","25","1","2","116","113","0","18","0","18","0","18","0","18","116","113","0","18",
"0500000US01039","Covington County, Alabama","37729","*****","37369","82","27903","565","9318","563","1010","203","1332","209","6079","466","897","196","148","60","13","20","11","17","124","50","360","82","235","65","78","35","47","31","0","24","0","24","94","40","16","25","125","45","31","22","67","32","0","24","0","24","27","27","0","24",
"0500000US01041","Crenshaw County, Alabama","13896","*****","13578","85","11578","261","1966","254","210","83","284","111","1236","172","236","104","34","25","0","18","0","18","34","25","318","85","108","45","0","18","58","38","0","18","0","18","50","27","0","18","210","97","0","18","100","83","0","18","0","18","106","43","4","6",
"0500000US01043","Cullman County, Alabama","81316","*****","79012","228","63134","962","15589","973","1420","304","4000","581","8474","697","1695","303","289","102","18","26","16","26","255","94","2304","228","776","227","67","47","340","135","0","27","0","27","369","182","0","27","1528","257","136","92","147","88","0","27","5","13","1228","215","12","17",
"0500000US01045","Dale County, Alabama","49607","*****","48245","239","27938","799","19035","785","2596","394","3317","339","10921","572","2201","323","1272","258","211","96","0","24","1061","234","1362","239","802","162","139","54","345","78","0","24","4","6","297","135","17","20","560","213","147","82","95","47","0","24","2","3","314","205","2","4",
"0500000US01047","Dallas County, Alabama","41426","*****","40816","133","36317","459","4415","438","703","229","943","198","2314","280","455","172","84","42","10","18","0","24","74","37","610","133","193","92","53","34","69","58","14","20","12","17","45","54","0","24","417","115","30","29","65","46","30","41","0","24","277","108","15","23",
"0500000US01049","DeKalb County, Alabama","70937","*****","65775","440","49296","928","16124","941","1040","308","2848","359","11439","871","797","187","355","166","60","65","0","27","295","145","5162","440","1005","282","34","33","147","108","0","27","0","27","824","264","0","27","4157","525","41","42","68","68","1","2","0","27","4021","509","26","33",
"0500000US01051","Elmore County, Alabama","80957","*****","79377","276","58559","1236","19821","1262","1828","326","3870","518","11997","1120","2126","362","997","254","47","44","36","35","914","241","1580","276","544","139","143","73","193","74","9","17","0","27","165","79","34","44","1036","286","103","57","227","91","26","31","0","27","666","248","14","16",
"0500000US01053","Escambia County, Alabama","37875","*****","37596","130","27551","716","9772","722","631","161","1277","305","7277","676","587","181","273","112","16","29","67","89","190","92","279","130","146","81","21","18","16","26","0","24","0","24","109","70","0","24","133","83","0","24","2","4","0","24","0","24","131","82","0","24",
"0500000US01055","Etowah County, Alabama","103363","*****","100384","342","81739","1161","18217","1132","1651","323","4584","515","10109","712","1873","317","428","144","15","17","21","31","392","131","2979","342","1044","221","71","37","541","109","105","96","0","27","278","124","49","34","1935","287","84","49","141","64","113","130","0","27","1559","247","38","49",
"0500000US01057","Fayette County, Alabama","16783","*****","16689","83","14082","340","2568","319","139","67","741","129","1450","248","238","102","39","29","0","18","0","18","39","29","94","83","71","73","0","18","45","38","0","18","0","18","26","37","0","18","23","35","23","35","0","18","0","18","0","18","0","18","0","18",
"0500000US01059","Franklin County, Alabama","31573","*****","28768","280","22128","677","6423","648","295","139","1992","403","3376","287","760","205","217","101","13","19","0","24","204","101","2805","280","571","307","28","31","10","20","0","24","18","27","515","308","0","24","2234","457","20","25","79","43","0","24","26","35","2105","458","4","7",
"0500000US01061","Geneva County, Alabama","26765","*****","26316","121","18479","627","7638","607","562","147","913","231","5511","550","652","202","199","147","26","39","0","21","173","116","449","121","114","68","66","40","3","9","0","21","0","21","45","56","0","21","335","116","26","31","83","33","0","21","0","21","226","115","0","21",
"0500000US01063","Greene County, Alabama","8587","*****","8565","24","7834","163","730","160","101","80","301","122","308","111","20","21","1","5","0","16","0","16","1","5","22","24","20","24","2","3","14","23","0","16","0","16","4","7","0","16","2","3","0","16","0","16","0","16","0","16","2","3","0","16",
"0500000US01065","Hale County, Alabama","15159","*****","15002","58","13425","242","1528","253","153","70","352","115","935","219","88","44","49","33","0","18","0","18","49","33","157","58","129","75","0","18","16","17","0","18","0","18","108","75","5","7","28","30","5","9","0","18","0","18","0","18","17","28","6","10",
"0500000US01067","Henry County, Alabama","17187","*****","16893","102","12272","468","4571","489","472","176","585","162","3359","411","155","89","50","48","0","18","0","18","50","48","294","102","57","49","11","19","8","12","5","9","0","18","22","38","11","17","237","104","24","28","0","18","0","18","5","7","201","98","7","12",
"0500000US01069","Houston County, Alabama","103891","*****","101484","184","68493","870","32120","852","3345","268","4534","297","21955","820","2286","234","871","100","105","35","6","5","760","94","2407","184","1240","127","234","48","485","63","57","23","2","3","446","86","16","9","1167","167","87","27","187","59","40","29","0","27","823","147","30","18",
"0500000US01071","Jackson County, Alabama","52608","*****","51421","284","36213","885","15094","818","663","185","3034","442","10533","752","864","249","114","58","32","33","10","13","72","45","1187","284","619","186","193","109","100","45","0","27","0","27","310","141","16","23","568","203","19","13","159","127","4","6","6","10","368","150","12","17",
"0500000US01073","Jefferson County, Alabama","659096","*****","633221","1037","498127","2822","130881","2708","15766","941","26237","1303","77400","2146","11478","979","4213","506","498","192","152","125","3563","476","25875","1037","8588","582","1400","278","4058","418","867","294","45","37","2034","325","184","89","17287","1012","753","192","4456","588","1453","407","119","70","10274","675","232","99",
"0500000US01075","Lamar County, Alabama","14066","*****","13947","90","8409","454","5501","462","152","82","884","201","4030","389","435","153","37","36","0","18","11","18","26","32","119","90","42","31","12","21","0","18","0","18","0","18","30","30","0","18","77","85","9","15","0","18","0","18","0","18","68","83","0","18",
"0500000US01077","Lauderdale County, Alabama","92641","*****","90739","330","64145","1227","26151","1258","1844","404","5995","754","16474","889","1838","357","443","156","63","55","10","16","370","151","1902","330","854","233","132","62","418","136","8","15","0","27","247","150","49","57","1048","274","142","96","283","133","0","27","0","27","582","205","41","36",
"0500000US01079","Lawrence County, Alabama","33433","*****","33190","111","28049","583","5062","579","264","90","1838","342","2535","485","425","163","79","71","33","46","0","24","46","54","243","111","115","61","11","15","20","9","0","24","0","24","84","58","0","24","128","61","5","9","0","24","0","24","0","24","119","60","4","8",
"0500000US01081","Lee County, Alabama","153947","*****","146007","813","80831","2011","63305","1893","5514","682","8043","768","44720","1587","5028","734","1871","320","290","178","55","67","1526","263","7940","813","2076","368","442","150","1094","227","155","137","0","27","349","152","36","44","5864","726","570","234","3761","410","307","224","39","61","1160","482","27","27",
"0500000US01083","Limestone County, Alabama","90257","*****","86349","425","59871","1315","25767","1301","2016","447","5923","577","15058","958","2770","443","711","164","117","92","0","27","594","151","3908","425","1858","405","222","123","656","201","18","21","0","27","890","359","72","45","2050","353","98","73","168","122","81","78","68","73","1585","296","50","48",
"0500000US01085","Lowndes County, Alabama","10565","*****","10533","31","9441","253","1015","230","155","95","233","85","557","151","70","47","77","60","0","18","0","18","77","60","32","31","18","23","4","6","0","18","0","18","0","18","14","22","0","18","14","22","8","16","0","18","0","18","0","18","6","14","0","18",
"0500000US01087","Macon County, Alabama","19684","*****","19462","105","14465","391","4887","386","668","149","1009","166","2673","251","537","134","110","58","18","29","4","7","88","53","222","105","102","55","13","20","11","16","6","9","0","18","57","47","15","15","120","91","0","18","33","50","24","28","0","18","63","68","0","18",
"0500000US01089","Madison County, Alabama","349973","*****","330512","1034","188761","2644","134438","2526","16948","1257","33029","1549","69352","2143","15109","1039","7313","690","1508","456","236","94","5569","599","19461","1034","8913","663","2152","292","3910","349","627","244","8","12","1995","458","221","88","10548","934","956","258","3583","565","712","272","63","59","4792","596","442","205",
"0500000US01091","Marengo County, Alabama","20066","*****","19884","151","16639","432","3239","425","213","83","773","271","2115","291","138","107","6","12","0","21","0","21","6","12","182","151","33","29","21","22","12","17","0","21","0","21","0","21","0","21","149","147","0","21","0","21","0","21","0","21","149","147","0","21",
"0500000US01093","Marion County, Alabama","30239","*****","29750","182","21524","660","8144","596","273","168","1947","306","5463","516","461","157","82","75","14","21","0","24","68","72","489","182","359","226","59","72","128","94","0","24","9","13","163","184","0","24","130","119","14","24","18","21","0","24","0","24","98","117","0","24",
"0500000US01095","Marshall County, Alabama","94534","*****","87755","417","67173","930","20044","963","1680","335","4381","381","11428","709","2555","373","538","158","61","46","9","10","468","149","6779","417","1122","275","163","72","254","68","12","13","0","27","676","259","17","21","5657","465","87","68","194","53","93","66","2","3","5218","445","63","65",
"0500000US01097","Mobile County, Alabama","414291","*****","401427","834","301449","2767","97058","2652","9765","781","14283","1031","64452","2305","8558","788","2920","615","837","366","66","48","2017","458","12864","834","6154","681","724","163","3416","543","181","97","28","27","1554","362","251","108","6710","770","739","207","2763","476","248","112","0","27","2766","632","194","103",
"0500000US01099","Monroe County, Alabama","21975","*****","21931","46","19160","400","2758","402","181","127","290","103","2243","333","44","28","13","16","0","21","0","21","13","16","44","46","37","44","4","7","33","44","0","21","0","21","0","21","0","21","7","10","7","10","0","21","0","21","0","21","0","21","0","21",
"0500000US01101","Montgomery County, Alabama","227392","*****","217480","633","164163","1947","50986","1777","6257","638","11386","873","28706","1411","4637","449","2331","297","147","69","35","27","2149","282","9912","633","3216","353","598","157","1515","269","280","132","28","36","750","191","45","42","6696","695","364","151","3197","443","400","232","0","27","2566","371","169","92",
"0500000US01103","Morgan County, Alabama","119555","*****","114392","386","82880","1389","30491","1337","2119","331","8598","643","15838","933","3936","656","1021","271","124","89","5","8","892","270","5163","386","1110","191","229","103","341","124","0","27","0","27","527","131","13","14","4053","378","69","49","266","146","0","27","10","15","3679","333","29","30",
"0500000US01105","Perry County, Alabama","9856","*****","9819","53","8597","277","1196","276","251","150","291","133","602","160","52","51","26","28","0","16","0","16","26","28","37","53","25","49","0","16","0","16","0","16","0","16","25","49","0","16","12","19","0","16","12","19","0","16","0","16","0","16","0","16",
"0500000US01107","Pickens County, Alabama","20042","*****","19730","115","15538","366","4134","347","247","99","698","157","2935","270","254","107","58","50","0","21","5","9","53","48","312","115","28","28","0","21","2","3","0","21","0","21","26","28","0","21","284","109","14","19","0","21","0","21","0","21","270","100","0","21",
"0500000US01109","Pike County, Alabama","33277","*****","31984","328","25656","633","6201","666","738","290","963","230","4049","509","451","142","127","73","5","6","0","24","122","72","1293","328","196","99","20","14","105","61","0","24","0","24","62","68","9","10","1097","317","71","68","663","258","32","41","70","108","261","121","0","24",
"0500000US01111","Randolph County, Alabama","22615","*****","22254","90","13938","627","8241","622","185","76","974","226","6808","566","274","113","75","53","6","11","15","23","54","42","361","90","132","80","44","34","35","32","0","21","0","21","53","57","0","21","229","89","15","18","12","19","1","2","0","21","201","82","0","21",
"0500000US01113","Russell County, Alabama","58636","*****","56969","418","18419","1011","37360","1105","2295","435","3182","470","30081","1217","1802","461","1190","331","261","170","15","24","914","269","1667","418","839","243","204","96","287","122","0","27","38","36","307","177","3","5","828","320","137","93","83","33","111","104","39","26","458","260","0","27",
"0500000US01115","St. Clair County, Alabama","86576","*****","85056","263","67243","1207","17548","1205","1827","403","3469","595","10568","968","1684","398","265","148","0","27","5","8","260","146","1520","263","652","187","96","65","315","92","21","33","0","27","191","116","29","52","868","259","58","49","236","140","26","27","0","27","548","223","0","27",
"0500000US01117","Shelby County, Alabama","205951","*****","194705","695","130995","1759","61840","1643","6601","650","12683","915","37393","1282","5163","621","1870","354","219","92","40","33","1611","337","11246","695","3793","414","667","179","1818","327","228","114","9","15","950","237","121","85","7453","702","441","149","1516","276","334","204","0","27","5045","499","117","57",
"0500000US01119","Sumter County, Alabama","13285","*****","13016","121","9652","427","3339","419","287","112","505","146","2301","337","246","136","25","43","0","18","0","18","25","43","269","121","17","18","0","18","12","15","0","18","0","18","5","10","0","18","252","119","4","9","245","119","0","18","0","18","3","5","0","18",
"0500000US01121","Talladega County, Alabama","81057","*****","79808","234","65403","892","13923","860","1539","354","2834","458","7781","743","1769","435","482","144","49","44","0","27","433","132","1249","234","339","170","124","107","141","102","0","27","4","6","28","36","42","65","910","219","79","46","193","144","36","36","22","36","558","157","22","29",
"0500000US01123","Tallapoosa County, Alabama","40958","*****","40361","100","34161","496","6042","485","651","186","1074","251","3853","421","464","106","158","77","19","21","0","24","139","73","597","100","380","142","19","26","109","25","0","24","0","24","252","136","0","24","217","136","0","24","3","6","0","24","0","24","214","135","0","24",
"0500000US01125","Tuscaloosa County, Alabama","202471","*****","195344","455","147061","1534","46699","1567","5395","655","9141","811","26965","1338","5198","704","1584","345","52","38","41","36","1491","343","7127","455","2204","327","310","116","807","189","158","88","13","30","856","244","60","45","4923","473","569","163","1646","253","270","146","4","7","2361","317","73","48",
"0500000US01127","Walker County, Alabama","65593","*****","64656","151","53290","908","11114","887","526","141","3281","379","6193","565","1114","293","252","107","43","37","21","34","188","90","937","151","156","60","40","45","96","34","0","27","0","27","20","26","0","27","781","143","21","20","139","69","0","27","0","27","612","123","9","13",
"0500000US01129","Washington County, Alabama","16909","*****","16735","133","13588","423","3089","405","150","86","327","147","2483","368","129","65","58","58","0","18","0","18","58","58","174","133","80","78","16","22","16","22","0","18","0","18","48","72","0","18","94","103","0","18","94","103","0","18","0","18","0","18","0","18",
"0500000US01131","Wilcox County, Alabama","11119","*****","11119","18","10157","174","912","167","170","93","137","85","507","118","98","86","50","69","0","18","0","18","50","69","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"0500000US01133","Winston County, Alabama","24013","*****","23699","98","18713","500","4900","502","250","97","1217","222","3010","429","423","152","86","51","0","21","0","21","86","51","314","98","111","71","0","21","48","52","0","21","0","21","53","42","10","15","203","81","0","21","14","20","0","21","0","21","189","80","0","21",
"0500000US02013","Aleutians East Borough, Alaska","3299","*****","1957","225","1215","164","647","97","58","20","105","27","85","23","399","79","95","47","8","12","15","21","72","38","1342","225","416","107","4","4","282","91","73","37","0","9","53","36","4","4","926","200","15","12","603","148","108","82","19","20","181","56","0","9",
"0500000US02016","Aleutians West Census Area, Alaska","5714","*****","3609","131","1120","64","2201","148","185","90","257","57","249","65","1510","127","288","57","0","12","63","40","225","56","2105","131","877","130","29","13","635","97","85","52","9","11","119","41","0","12","1228","103","9","6","1044","104","57","37","22","46","88","42","8","9",
"0500000US02020","Anchorage Municipality, Alaska","299321","*****","268515","1489","109534","2389","149844","2382","17347","1016","35367","1471","37762","1675","59368","1916","9137","733","847","313","2125","400","6165","661","30806","1489","18397","980","2148","341","10591","746","415","182","438","151","4136","527","669","173","12409","1217","1159","256","6954","918","874","365","676","265","2233","411","513","150",
"0500000US02050","Bethel Census Area, Alaska","17885","*****","17563","119","15563","137","1983","170","261","81","548","118","332","90","842","147","17","15","1","3","11","15","5","4","322","119","152","53","39","34","104","37","2","4","0","14","7","7","0","14","170","87","47","61","72","56","12","21","0","14","39","23","0","14",
"0500000US02060","Bristol Bay Borough, Alaska","942","71","919","71","464","54","442","51","20","11","136","29","83","27","203","39","13","7","0","9","0","9","13","7","23","15","14","12","0","9","5","7","1","2","2","4","6","7","0","9","9","8","2","3","4","8","0","9","0","9","0","9","3","4",
"0500000US02068","Denali Borough, Alaska","2125","121","1993","167","448","100","1515","175","294","97","427","106","374","119","420","85","30","26","0","9","0","9","30","26","132","129","21","27","1","3","15","25","0","9","0","9","0","9","5","8","111","120","58","100","52","35","0","9","0","9","0","9","1","3",
"0500000US02070","Dillingham Census Area, Alaska","4980","*****","4858","69","4034","79","824","63","78","29","185","45","179","87","382","79","0","9","0","9","0","9","0","9","122","69","78","47","12","8","56","45","0","9","0","9","10","11","0","9","44","38","5","11","28","39","4","9","0","9","0","9","7","11",
"0500000US02090","Fairbanks North Star Borough, Alaska","100150","*****","94951","614","33488","1468","58353","1624","6890","685","14444","1030","16739","1267","20280","1280","3110","570","633","438","303","188","2174","395","5199","614","2811","426","727","230","1086","188","68","50","7","11","585","268","338","178","2388","464","526","200","1086","269","69","55","90","92","380","219","237","142",
"0500000US02100","Haines Borough, Alaska","2528","*****","2405","69","697","181","1589","202","189","74","531","143","138","48","731","161","119","127","0","9","0","9","119","127","123","69","42","41","29","39","11","12","0","9","0","9","0","9","2","3","81","56","17","25","8","12","0","9","5","10","11","16","40","45",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2107","*****","1980","74","1077","89","886","75","75","30","173","38","150","56","488","63","17","12","0","9","0","9","17","12","127","74","54","49","9","8","5","11","23","50","0","9","13","14","4","5","73","58","3","4","37","43","17","36","0","9","16","36","0","9",
"0500000US02110","Juneau City and Borough, Alaska","32524","*****","29868","272","12927","564","16267","556","1649","201","3385","377","2255","312","8978","495","674","181","73","81","94","63","507","156","2656","272","1427","184","283","128","871","138","47","47","18","22","168","80","40","29","1229","262","138","85","608","177","0","18","140","101","260","147","83","60",
"0500000US02122","Kenai Peninsula Borough, Alaska","57637","*****","56013","269","21280","960","34116","975","3014","493","8988","606","4952","411","17162","929","617","158","37","52","32","38","548","148","1624","269","961","186","301","109","351","81","3","6","8","8","207","119","91","49","663","185","159","80","295","122","0","20","10","11","170","88","29","24",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13715","*****","12593","101","5740","216","6707","218","502","90","1401","141","1021","130","3783","197","146","59","0","14","48","39","98","42","1122","101","646","87","61","29","465","77","18","16","0","14","90","64","12","11","476","87","18","14","391","72","9","13","0","14","43","31","15","13",
"0500000US02150","Kodiak Island Borough, Alaska","13918","*****","11312","203","5315","370","5845","363","1062","207","1416","245","1186","246","2181","287","152","59","0","14","59","27","93","54","2606","203","1476","241","84","55","1101","232","0","14","0","14","286","74","5","8","1130","265","19","21","1002","250","0","14","0","14","109","57","0","14",
"0500000US02158","Kusilvak Census Area, Alaska","7993","*****","7915","39","7617","81","298","69","36","38","63","36","95","60","104","50","0","12","0","12","0","12","0","12","78","39","19","13","10","22","9","10","0","12","0","12","0","12","0","12","59","34","0","12","20","19","11","22","0","12","28","43","0","12",
"0500000US02164","Lake and Peninsula Borough, Alaska","1411","121","1359","124","1052","96","300","59","21","14","108","28","27","11","144","53","7","5","0","9","0","9","7","5","52","48","16","18","2","3","3","3","4","6","0","9","7","16","0","9","36","49","2","3","33","48","0","9","0","9","0","9","1","2",
